customer_id,merchant_id,amount,is_fraudulent,card_type,purchase_category,customer_age
1082.0,2027.0,5758.59,0,MasterCard,Gas Station,43.0
1015.0,2053.0,1901.56,1,Visa,Online Shopping,61.0
1004.0,2035.0,1248.86,1,MasterCard,Gas Station,57.0
1095.0,2037.0,7619.05,1,Discover,Travel,59.0
1036.0,2083.0,1890.1,1,MasterCard,Retail,36.0
1032.0,2021.0,8487.68,1,American Express,Gas Station,43.0
1029.0,2033.0,7565.3,1,Visa,Online Shopping,19.0
1018.0,2088.0,2284.88,0,American Express,Travel,40.0
1095.0,2077.0,3952.73,0,American Express,Groceries,43.0
1014.0,2031.0,8362.04,0,Visa,Restaurant,55.0
1087.0,2052.0,2974.23,1,MasterCard,Retail,70.0
1095.0,2031.0,4128.7,0,Discover,Travel,27.0
1070.0,2015.0,6409.54,1,American Express,Restaurant,46.0
1012.0,2020.0,2190.4,1,Visa,Gas Station,34.0
1076.0,2025.0,2516.99,1,MasterCard,Retail,41.0
1055.0,2004.0,3454.14,1,Discover,Retail,19.0
1005.0,2032.0,2415.3,1,Visa,Online Shopping,41.0
1004.0,2040.0,79.76,0,Visa,Restaurant,64.0
1012.0,2060.0,8906.66,1,Visa,Travel,62.0
1028.0,2063.0,6838.47,1,Discover,Groceries,44.0
1030.0,2072.0,2821.68,1,MasterCard,Groceries,57.0
1065.0,2056.0,1621.03,0,MasterCard,Retail,40.0
1078.0,2055.0,625.58,0,Visa,Online Shopping,60.0
1004.0,2083.0,4944.29,1,Discover,Retail,51.0
1072.0,2005.0,9027.91,0,Visa,Groceries,28.0
1026.0,2026.0,613.44,1,MasterCard,Travel,42.0
1092.0,2021.0,7558.94,0,Visa,Restaurant,23.0
1084.0,2035.0,4306.65,1,American Express,Groceries,45.0
1090.0,2018.0,6743.61,1,American Express,Groceries,65.0
1070.0,2004.0,8987.41,0,MasterCard,Online Shopping,55.0
1054.0,2034.0,4464.86,1,MasterCard,Gas Station,24.0
1029.0,2036.0,9771.9,1,American Express,Online Shopping,30.0
1058.0,2085.0,6748.27,1,Discover,Retail,35.0
1076.0,2071.0,3190.8,0,Visa,Gas Station,32.0
1036.0,2023.0,7716.15,1,MasterCard,Online Shopping,58.0
1001.0,2083.0,9145.62,1,MasterCard,Retail,66.0
1098.0,2006.0,6983.78,0,MasterCard,Restaurant,51.0
1021.0,2093.0,6059.01,1,Visa,Travel,61.0
1090.0,2063.0,9593.37,0,American Express,Groceries,66.0
1055.0,2003.0,5696.32,0,Discover,Online Shopping,22.0
1044.0,2008.0,7274.22,0,American Express,Online Shopping,27.0
1036.0,2011.0,3197.45,1,Visa,Restaurant,66.0
1020.0,2041.0,3587.54,1,Discover,Gas Station,39.0
1028.0,2078.0,8111.54,0,American Express,Online Shopping,53.0
1098.0,2039.0,3710.73,0,Discover,Groceries,21.0
1044.0,2009.0,3009.47,0,Visa,Restaurant,29.0
1014.0,2053.0,4895.98,1,MasterCard,Groceries,38.0
1012.0,2047.0,5463.71,1,MasterCard,Online Shopping,43.0
1049.0,2086.0,7452.24,0,MasterCard,Retail,28.0
1013.0,2085.0,2288.84,1,Visa,Online Shopping,23.0
1046.0,2012.0,1713.82,0,Visa,Groceries,56.0
1045.0,2051.0,6911.74,1,Discover,Retail,46.0
1078.0,2093.0,4103.23,0,Visa,Travel,35.0
1034.0,2018.0,8800.95,0,American Express,Retail,48.0
1006.0,2031.0,3250.43,0,Visa,Restaurant,45.0
1094.0,2015.0,7964.55,1,Discover,Groceries,21.0
1059.0,2074.0,9452.68,1,American Express,Groceries,37.0
1069.0,2095.0,4038.38,0,Visa,Groceries,64.0
1016.0,2065.0,8688.14,1,MasterCard,Retail,37.0
1049.0,2016.0,4649.28,0,American Express,Retail,21.0
1011.0,2067.0,1535.32,1,Visa,Groceries,37.0
1071.0,2086.0,7381.21,0,MasterCard,Groceries,27.0
1038.0,2075.0,3861.79,0,Visa,Restaurant,35.0
1081.0,2100.0,9496.84,0,Visa,Online Shopping,24.0
1080.0,2068.0,8734.88,1,Discover,Gas Station,36.0
1047.0,2033.0,7884.77,1,Discover,Online Shopping,27.0
1074.0,2064.0,3820.76,0,Discover,Restaurant,62.0
1025.0,2012.0,8703.8,0,American Express,Online Shopping,61.0
1091.0,2031.0,1502.35,0,Discover,Restaurant,44.0
1009.0,2077.0,3663.44,0,American Express,Retail,38.0
1006.0,2016.0,4349.47,1,American Express,Groceries,42.0
1085.0,2099.0,8175.87,0,American Express,Groceries,27.0
1030.0,2041.0,9054.57,0,Visa,Retail,45.0
1099.0,2043.0,1518.88,0,American Express,Retail,22.0
1038.0,2075.0,9460.97,0,Visa,Restaurant,43.0
1011.0,2095.0,2177.77,0,American Express,Retail,21.0
1030.0,2050.0,173.73,0,American Express,Gas Station,34.0
1013.0,2096.0,4728.16,0,Visa,Online Shopping,43.0
1049.0,2096.0,2716.19,0,American Express,Gas Station,37.0
1036.0,2031.0,1985.59,1,Discover,Groceries,33.0
1059.0,2055.0,4978.25,0,MasterCard,Gas Station,19.0
1082.0,2028.0,1591.58,1,MasterCard,Restaurant,64.0
1047.0,2019.0,8299.48,1,Discover,Gas Station,19.0
1021.0,2014.0,8539.61,1,Discover,Travel,46.0
1048.0,2023.0,2783.92,0,American Express,Restaurant,28.0
1046.0,2028.0,1907.56,0,Discover,Groceries,37.0
1027.0,2036.0,6072.18,1,MasterCard,Groceries,47.0
1086.0,2057.0,4996.38,1,Discover,Online Shopping,43.0
1035.0,2053.0,4356.72,0,MasterCard,Travel,42.0
1090.0,2033.0,8517.45,0,Discover,Online Shopping,62.0
1088.0,2076.0,4878.55,1,American Express,Groceries,18.0
1083.0,2008.0,6661.23,0,Visa,Retail,40.0
1010.0,2063.0,3540.16,0,Visa,Restaurant,67.0
1078.0,2069.0,1069.05,1,American Express,Restaurant,63.0
1082.0,2048.0,9529.97,1,MasterCard,Groceries,31.0
1022.0,2090.0,7063.18,0,Visa,Retail,22.0
1069.0,2015.0,6082.1,0,American Express,Gas Station,31.0
1094.0,2041.0,1423.36,1,MasterCard,Gas Station,57.0
1032.0,2070.0,5192.44,0,American Express,Retail,63.0
1021.0,2055.0,4947.37,0,American Express,Groceries,48.0
1060.0,2061.0,2171.87,0,Visa,Travel,66.0
1049.0,2088.0,4910.16,1,American Express,Travel,51.0
1035.0,2032.0,9569.0,0,Discover,Restaurant,31.0
1082.0,2036.0,6318.77,1,MasterCard,Travel,47.0
1089.0,2019.0,3392.42,0,Visa,Gas Station,36.0
1072.0,2047.0,3113.01,1,Discover,Retail,48.0
1029.0,2061.0,6188.62,1,Discover,Groceries,42.0
1088.0,2092.0,6120.15,0,American Express,Retail,42.0
1042.0,2048.0,5995.17,0,MasterCard,Restaurant,68.0
1099.0,2040.0,5301.07,0,American Express,Online Shopping,64.0
1100.0,2003.0,3417.56,0,MasterCard,Travel,56.0
1008.0,2083.0,3739.81,1,American Express,Restaurant,68.0
1030.0,2078.0,6888.26,1,Visa,Groceries,32.0
1005.0,2005.0,1290.05,0,Discover,Travel,49.0
1041.0,2095.0,5657.62,1,Discover,Online Shopping,48.0
1052.0,2085.0,4740.5,1,Discover,Online Shopping,64.0
1035.0,2007.0,186.92,0,American Express,Online Shopping,48.0
1009.0,2089.0,3706.39,1,Visa,Retail,68.0
1028.0,2086.0,2468.64,0,Discover,Groceries,29.0
1073.0,2031.0,9446.32,0,Discover,Online Shopping,37.0
1092.0,2033.0,6885.93,0,American Express,Restaurant,67.0
1041.0,2071.0,9102.36,0,American Express,Online Shopping,65.0
1028.0,2050.0,9026.52,0,Discover,Travel,29.0
1084.0,2040.0,6342.38,0,American Express,Groceries,34.0
1064.0,2082.0,9019.38,1,Visa,Restaurant,28.0
1051.0,2090.0,4767.11,0,Visa,Retail,48.0
1083.0,2047.0,2812.51,1,Visa,Travel,50.0
1059.0,2088.0,3414.17,1,Discover,Restaurant,37.0
1019.0,2016.0,7940.24,0,Discover,Restaurant,68.0
1034.0,2069.0,6986.31,1,Discover,Groceries,62.0
1018.0,2031.0,9019.54,0,MasterCard,Groceries,22.0
1032.0,2057.0,9655.08,1,Discover,Gas Station,29.0
1096.0,2050.0,7818.14,0,American Express,Travel,52.0
1072.0,2002.0,5727.03,0,Visa,Groceries,60.0
1069.0,2051.0,9114.69,1,Discover,Groceries,49.0
1034.0,2033.0,7083.97,1,MasterCard,Groceries,58.0
1096.0,2039.0,6097.78,1,Discover,Restaurant,44.0
1075.0,2012.0,8135.09,1,American Express,Travel,67.0
1055.0,2097.0,2498.5,1,MasterCard,Groceries,68.0
1075.0,2031.0,5637.35,1,Discover,Restaurant,24.0
1052.0,2039.0,8906.66,0,Discover,Gas Station,26.0
1047.0,2027.0,3141.47,0,Visa,Travel,66.0
1029.0,2021.0,8808.47,0,Visa,Restaurant,65.0
1018.0,2057.0,3847.59,0,MasterCard,Travel,50.0
1066.0,2081.0,1492.07,0,American Express,Groceries,27.0
1064.0,2041.0,3223.33,0,MasterCard,Travel,45.0
1012.0,2099.0,5297.06,1,Visa,Gas Station,24.0
1097.0,2083.0,4632.27,0,Discover,Online Shopping,28.0
1007.0,2053.0,9005.3,1,American Express,Gas Station,35.0
1015.0,2005.0,9471.97,1,American Express,Gas Station,63.0
1020.0,2036.0,7280.99,0,MasterCard,Groceries,55.0
1081.0,2011.0,678.59,0,American Express,Travel,57.0
1021.0,2100.0,3901.87,1,MasterCard,Restaurant,53.0
1088.0,2063.0,1939.89,0,Discover,Gas Station,47.0
1055.0,2061.0,7701.76,0,Visa,Online Shopping,46.0
1077.0,2095.0,7121.96,0,American Express,Restaurant,56.0
1009.0,2053.0,3644.19,0,Discover,Online Shopping,54.0
1050.0,2043.0,7779.82,1,Visa,Online Shopping,56.0
1049.0,2092.0,4742.73,1,American Express,Restaurant,36.0
1077.0,2055.0,2241.1,0,Visa,Gas Station,60.0
1060.0,2013.0,40.5,1,Discover,Groceries,50.0
1068.0,2021.0,3568.13,0,MasterCard,Travel,22.0
1033.0,2090.0,6210.32,1,Discover,Groceries,55.0
1071.0,2034.0,5623.16,1,American Express,Restaurant,37.0
1002.0,2065.0,7839.01,1,Visa,Groceries,62.0
1088.0,2009.0,9567.11,1,Discover,Retail,20.0
1093.0,2046.0,4852.13,1,American Express,Travel,44.0
1015.0,2054.0,3148.54,1,Discover,Gas Station,63.0
1088.0,2078.0,8833.3,1,MasterCard,Online Shopping,53.0
1069.0,2094.0,2008.58,0,Discover,Retail,25.0
1097.0,2071.0,8109.18,1,MasterCard,Travel,29.0
1035.0,2095.0,1890.07,0,Visa,Online Shopping,47.0
1099.0,2042.0,9237.85,0,MasterCard,Restaurant,40.0
1083.0,2059.0,6054.76,1,MasterCard,Retail,43.0
1044.0,2089.0,2963.24,1,Discover,Online Shopping,23.0
1015.0,2004.0,615.02,0,MasterCard,Restaurant,64.0
1038.0,2098.0,8848.87,1,American Express,Retail,18.0
